1000,0.001,0,0
6000,0.022,0.001,0.001
11000,0.073,0.001,0.001
16000,0.154,0.001,0.003
21000,0.273,0.003,0.003
26000,0.442,0.004,0.004
31000,0.577,0.005,0.005
36000,0.818,0.004,0.006
41000,1.052,0.007,0.006
46000,1.353,0.006,0.007
51000,1.591,0.006,0.01
56000,1.98,0.008,0.008
61000,2.393,0.008,0.01
66000,2.756,0.008,0.01
71000,3.34,0.01,0.012
76000,3.634,0.01,0.013
81000,4.177,0.012,0.014
86000,4.632,0.012,0.016
91000,5.074,0.011,0.014
96000,5.707,0.013,0.017
